aspect_a,aspect_b,support_a_negative,support_b_negative,support_ab_negative,p_b_negative_given_a_negative,base_b_negative_rate,lift
Ambience#Space,Location#Downtown,774,118,8,0.0103359173126615,0.01194331983805668,0.8654140936364034
Service#Timely,Location#Downtown,907,118,8,0.008820286659316428,0.01194331983805668,0.7385121372376806
Location#Downtown,Food#Recommend,118,438,6,0.05084745762711865,0.04433198380566802,1.146970048757836
Location#Downtown,Ambience#Noise,118,513,6,0.05084745762711865,0.051923076923076926,0.9792843691148776
Service#Parking,Price#Discount,169,228,6,0.03550295857988166,0.023076923076923078,1.5384615384615383
Service#Parking,Ambience#Decoration,169,424,6,0.03550295857988166,0.04291497975708502,0.8272859216255444
Price#Discount,Service#Parking,228,169,6,0.02631578947368421,0.017105263157894738,1.5384615384615383
Price#Discount,Location#Easy_to_find,228,629,6,0.02631578947368421,0.06366396761133604,0.41335453100158975
Ambience#Decoration,Service#Parking,424,169,6,0.014150943396226415,0.017105263157894738,0.8272859216255443
Food#Recommend,Location#Downtown,438,118,6,0.0136986301369863,0.01194331983805668,1.146970048757836
Ambience#Noise,Location#Downtown,513,118,6,0.011695906432748537,0.01194331983805668,0.9792843691148775
Location#Easy_to_find,Price#Discount,629,228,6,0.009538950715421303,0.023076923076923078,0.41335453100158975
Service#Parking,Ambience#Noise,169,513,5,0.029585798816568046,0.051923076923076926,0.5698005698005697
Ambience#Noise,Service#Parking,513,169,5,0.009746588693957114,0.017105263157894738,0.5698005698005697
Location#Downtown,Ambience#Decoration,118,424,4,0.03389830508474576,0.04291497975708502,0.789894467540774
Location#Downtown,Food#Taste,118,503,4,0.03389830508474576,0.05091093117408907,0.6658354955015668
Price#Discount,Location#Transportation,228,253,4,0.017543859649122806,0.025607287449392713,0.6851119894598154
Location#Transportation,Price#Discount,253,228,4,0.015810276679841896,0.023076923076923078,0.6851119894598154
Ambience#Decoration,Location#Downtown,424,118,4,0.009433962264150943,0.01194331983805668,0.7898944675407739
Food#Taste,Location#Downtown,503,118,4,0.007952286282306162,0.01194331983805668,0.6658354955015667
Location#Downtown,Service#Parking,118,169,2,0.01694915254237288,0.017105263157894738,0.9908735332464146
Location#Downtown,Service#Queue,118,683,2,0.01694915254237288,0.06912955465587045,0.24517954190138222
Service#Parking,Location#Downtown,169,118,2,0.011834319526627219,0.01194331983805668,0.9908735332464146
Service#Queue,Location#Downtown,683,118,2,0.0029282576866764276,0.01194331983805668,0.24517954190138225
Location#Downtown,Price#Discount,118,228,0,0.0,0.023076923076923078,0.0
Price#Discount,Location#Downtown,228,118,0,0.0,0.01194331983805668,0.0
